,proba
0,0.0003888897
1,0.0023534806
2,0.00058940717
3,0.0009380501
4,0.0005183517
5,0.0005375139
6,0.02107035
7,0.00096848205
8,0.0004921711
9,0.018032055
10,0.0009646785
11,0.004738363
12,0.00048728654
13,0.020628484
14,0.000905981
15,0.78866786
16,0.0033779878
17,0.00067706266
18,0.0010215987
19,0.014990399
20,0.00038527563
21,0.006179367
22,0.00038594112
23,0.0003593454
24,0.0004929469
25,0.0006933195
26,0.0004231297
27,0.0011009627
28,0.00036659618
29,0.00039950438
30,0.0003419175
31,0.0095819775
32,0.00067116704
33,0.00079817825
34,0.009406159
35,0.00033989077
36,0.2142648
37,0.00035988452
38,0.0003723972
39,0.0004984407
40,0.00045301084
41,0.0056004645
42,0.00034058662
43,0.0003503376
44,0.00050739245
45,0.00038947706
46,0.00088284054
47,0.0003437827
48,0.0011705762
49,0.0011134127
50,0.00044996175
51,0.0033092103
52,0.00037107855
53,0.0042744894
54,0.00038181213
55,0.00049322884
56,0.0004195852
57,0.00040483364
58,0.00088686217
59,0.00043759093
60,0.0004790037
61,0.13944098
62,0.0003683887
63,0.0032494478
64,0.00038112735
65,0.0003261876
66,0.07723011
67,0.00052398315
68,0.00033686258
69,0.0010049322
70,0.0003711441
71,0.003222286
72,0.0023624517
73,0.0034628964
74,0.0006178327
75,0.00035382505
76,0.00054572255
77,0.00043980047
78,0.00090888777
79,0.0005296153
80,0.00038212066
81,0.00058767444
82,0.00040673968
83,0.00036795886
84,0.00034776816
85,0.00038483873
86,0.00046373825
87,0.0018424724
88,0.0006168183
89,0.000499515
90,0.00038432278
91,0.0008171579
92,0.0052225892
93,0.0047638314
94,0.001539862
95,0.0005014935
96,0.00045290645
97,0.003734902
98,0.0125700785
99,0.00049554056
100,0.00087777793
101,0.00038293007
102,0.00033583157
103,0.0015676359
104,0.00031987857
105,0.39332917
106,0.017843451
107,0.5317079
108,0.0003571137
109,0.0003625468
110,0.0008403327
111,0.00051873224
112,0.00043621458
113,0.0030833515
114,0.0008402396
115,0.025602996
116,0.0019350201
117,0.0007863498
118,0.00042212973
119,0.00041525826
120,0.00036786537
121,0.0004055233
122,0.00066622545
123,0.0044258134
124,0.015832428
125,0.00035925081
126,0.00033109618
127,0.00053795526
128,0.0004944767
129,0.004472998
130,0.0005769546
131,0.0004910511
132,0.046867333
133,0.00041927965
134,0.0004908151
135,0.88221264
136,0.00032800224
137,0.0015354528
138,0.0004745142
139,0.00041880846
140,0.00061236246
141,0.0041446486
142,0.00046854667
143,0.00046618478
144,0.0015492623
145,0.0005444144
146,0.00036538026
147,0.0049117813
148,0.7059881
149,0.0588826
150,0.01752052
151,0.00041207462
152,0.0004924078
153,0.00051775924
154,0.0006471975
155,0.00038505637
156,0.00043703214
157,0.00076004193
158,0.007773067
159,0.00031542988
160,0.004427867
161,0.0009331053
162,0.0005522853
163,0.0026504998
164,0.026418623
165,0.0004357226
166,0.0005094261
167,0.0011768907
168,0.00048155128
169,0.00052020256
170,0.00056920527
171,0.00048992183
172,0.00048612632
173,0.00041338
174,0.00053360825
175,0.00043581432
176,0.00035861047
177,0.0004728321
178,0.00053619
179,0.0008829384
180,0.0014582231
181,0.0005779393
182,0.0003862512
183,0.0006319618
184,0.002251632
185,0.00070068776
186,0.0011623909
187,0.0006449428
188,0.10061576
189,0.0006262484
190,0.003541011
191,0.00065397023
192,0.00038060462
193,0.00044178535
194,0.0010095211
195,0.0012119564
196,0.00052529614
197,0.00073408696
198,0.0005768478
199,0.0004891044
200,0.00036190456
201,0.00045501516
202,0.00037278899
203,0.00040523312
204,0.00036866116
205,0.00073173444
206,0.00062310795
207,0.0021399707
208,0.013318909
209,0.0006041075
210,0.0006409761
211,0.0008958241
212,0.0031126924
213,0.00043641025
214,0.32976913
215,0.07247343
216,0.00090089755
217,0.00047979192
218,0.0042680805
219,0.0041407337
220,0.0006280262
221,0.00084867404
222,0.0013795308
223,0.0004322611
224,0.00034231914
225,0.0012250929
226,0.0010662485
227,0.00062466646
228,0.0005169931
229,0.00035659474
230,0.00039978
231,0.013383667
232,0.00058500376
233,0.06338977
234,0.0006036925
235,0.046747252
236,0.0005835229
237,0.00061186374
238,0.0005035134
239,0.00038536443
240,0.001388836
241,0.00043842872
242,0.00047479197
243,0.15484776
244,0.00041782
245,0.40217358
246,0.0005297336
247,0.000442877
248,0.0003635468
249,0.0017412495
250,0.0009411741
251,0.00032469194
252,0.00032491607
253,0.00038996642
254,0.025959233
255,0.011746045
256,0.0019658166
257,0.00046648766
258,0.00035029667
259,0.00042760643
260,0.02742291
261,0.0005715373
262,0.0024069962
263,0.0012110288
264,0.00037225586
265,0.0023455506
266,0.00052655675
267,0.00044347547
268,0.00046114484
269,0.0005708522
270,0.0065538073
271,0.0008612846
272,0.004411482
273,0.0017295785
274,0.0006307281
275,0.00033914155
276,0.0035305643
277,0.000460695
278,0.0009092707
